,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
130,MINUTEMAN MISSILE NHS,214,"143,715",0.04%,SD,MW,39.22,0.93,0.0,40.15,0.0,3.65,3.65,43.8,43,43.844547,-101.9011854
131,LINCOLN BOYHOOD NMEM,215,"143,651",0.04%,IN,MW,185.68,0.0,0.0,185.68,6.38,7.9,14.28,199.96,195,38.11391629999999,-86.99694140000001
132,GREENBELT PARK,217,"141,856",0.04%,MD,NC,1105.79,0.0,0.0,1105.79,58.3,11.33,69.63,1175.42,182,38.983031,-76.90114270000001
133,PETROGLYPH NM,218,"141,803",0.04%,NM,IM,2936.37,0.0,0.0,2936.37,4160.95,111.98,4272.93,7209.3,215,35.13678170000001,-106.7405057
134,LAVA BEDS NM,219,"135,286",0.04%,CA,PW,46692.42,0.0,0.0,46692.42,0.0,0.0,0.0,46692.42,196,41.758837,-121.52666409999998
135,ANDERSONVILLE NHS,220,"132,149",0.04%,GA,SE,499.88,1.0,0.0,500.88,7.89,6.84,14.73,515.61,124,32.2002948,-84.1303207
136,CORONADO NMEM,221,"131,614",0.04%,AZ,IM,4828.22,0.0,0.0,4828.22,0.0,2.0,2.0,4830.22,222,31.3458652,-110.25377549999999
137,PEA RIDGE NMP,225,"121,163",0.04%,AR,MW,4278.75,0.0,0.0,4278.75,17.83,3.77,21.6,4300.35,190,36.443765500000005,-94.025807
138,GAULEY RIVER NRA,228,"118,733",0.04%,WV,NE,4817.11,61.67,43.36,4922.14,989.83,5654.49,6644.32,11566.46,24,38.208965500000005,-81.01473
139,MANZANAR NHS,230,"114,461",0.03%,CA,PW,813.81,0.0,0.0,813.81,0.0,0.0,0.0,813.81,30,36.72722879999999,-118.1527894
140,MONOCACY NB,232,"113,820",0.03%,MD,NC,1354.87,195.37,0.0,1550.24,51.82,44.81,96.63,1646.87,179,39.3725838,-77.39898199999998
141,NINETY SIX NHS,233,"113,103",0.03%,SC,SE,1021.94,0.0,0.0,1021.94,0.0,0.0,0.0,1021.94,162,34.146721899999996,-82.0235684
142,DEVILS POSTPILE NM,234,"109,571",0.03%,CA,PW,800.19,0.0,0.0,800.19,0.0,0.0,0.0,800.19,66,37.625106200000005,-119.0849506
143,TUZIGOOT NM,235,"109,388",0.03%,AZ,IM,366.42,15.11,0.0,381.53,0.0,430.36,430.36,811.89,109,34.768777899999996,-112.0268895
